met2013,V1,year,raw_lnw,N,model_type
0,0.69815015187544,2005,2.49361362657651,364040,simplified
10420,0.791013384584769,2005,2.65497903706896,3539,simplified
10580,0.848505384488067,2005,2.75329156530651,4353,simplified
10740,0.767159055452028,2005,2.60903219908195,3862,simplified
10780,0.664999681431205,2005,2.44546710440677,1004,simplified
10900,0.860605094288073,2005,2.72504452072474,3655,simplified
11020,0.675919702678084,2005,2.49028192078408,645,simplified
11100,0.686297212493755,2005,2.45651257447997,1287,simplified
11260,0.94224174717618,2005,2.78412751796417,1685,simplified
11460,0.830209619533824,2005,2.79493955938939,1534,simplified
11500,0.727150637435366,2005,2.52923557197489,483,simplified
12020,0.668999498798762,2005,2.46039812562971,990,simplified
12060,0.909353395701701,2005,2.76439210096825,23318,simplified
12100,0.977778907227615,2005,2.77325884287945,1352,simplified
12220,0.669344879382336,2005,2.42796687758358,969,simplified
12260,0.823826458695395,2005,2.61426600769866,2255,simplified
12420,0.843883454705705,2005,2.68844037562239,7484,simplified
12540,0.841872137675094,2005,2.53297372368464,3062,simplified
12580,0.968961297088353,2005,2.83379681158174,13321,simplified
12620,0.637206298592799,2005,2.48929558757212,890,simplified
12700,0.885199959155536,2005,2.79458377012847,1199,simplified
12940,0.815927742948323,2005,2.5890492115642,3233,simplified
12980,0.743936512031724,2005,2.56978713218423,742,simplified
13140,0.756117696011912,2005,2.51757334668761,1651,simplified
13380,0.797741878231342,2005,2.63902633112819,830,simplified
13460,0.772619927507531,2005,2.62717946372324,575,simplified
13740,0.689032170565,2005,2.54010348293167,613,simplified
13780,0.732928421738161,2005,2.60947612042321,1417,simplified
13820,0.785372309344552,2005,2.61713318981753,4600,simplified
13980,0.637419438557342,2005,2.45749966762929,749,simplified
14010,0.759882206035585,2005,2.63546835079385,1022,simplified
14020,0.677858961219778,2005,2.56824496908197,535,simplified
14260,0.767877125738637,2005,2.59995800978034,2282,simplified
14460,0.980783245136765,2005,2.91353463570414,23149,simplified
14740,0.874421056956735,2005,2.7168942776511,1202,simplified
14860,1.10404669440687,2005,3.02970449842437,4211,simplified
15180,0.604925862140821,2005,2.32352919602491,1288,simplified
15380,0.798580844112631,2005,2.66269601712769,5635,simplified
15500,0.807677239829052,2005,2.58323693612935,706,simplified
15540,0.786725166082228,2005,2.7454526631268,843,simplified
15940,0.738972712857825,2005,2.56104613134826,2025,simplified
15980,0.853285220522776,2005,2.65039944847213,2713,simplified
16580,0.709850308915389,2005,2.53896009387217,1142,simplified
16700,0.768124534000031,2005,2.59127085981522,3070,simplified
16740,0.826069249118221,2005,2.66437852803896,9250,simplified
16820,0.804382049906197,2005,2.72269389447757,865,simplified
16860,0.804029235855624,2005,2.64201048953352,2189,simplified
16980,0.929109592169702,2005,2.78701962792243,40173,simplified
17020,0.759620738342488,2005,2.55890630385004,1000,simplified
17140,0.8434957775988,2005,2.6810617102864,9978,simplified
17300,0.693443812398183,2005,2.4845064343437,1162,simplified
17460,0.830375616247674,2005,2.68621261143531,10488,simplified
17780,0.616394280194217,2005,2.35281126968182,780,simplified
17820,0.789080243808729,2005,2.67289676682856,3017,simplified
17860,0.633725617042366,2005,2.52682155093682,703,simplified
18140,0.845221152058453,2005,2.71010037005782,8590,simplified
18580,0.684745679686112,2005,2.45839578801867,1673,simplified
19100,0.870740591079928,2005,2.68958868013789,28392,simplified
19300,0.657564886444981,2005,2.51025734547683,620,simplified
19340,0.730494876746837,2005,2.5751769535996,1857,simplified
19380,0.794202503263549,2005,2.63586189615466,3911,simplified
19460,0.703466361845817,2005,2.48396390694069,695,simplified
19500,0.754804409413249,2005,2.57691617940046,663,simplified
19660,0.744355096749429,2005,2.55074254344933,2831,simplified
19740,0.904211276565134,2005,2.79815529044975,12442,simplified
19820,0.919998240153207,2005,2.77710282506489,17670,simplified
20100,0.810026806655622,2005,2.56241355135211,671,simplified
20500,0.851456762850227,2005,2.76670423704527,2103,simplified
20700,0.83696167885494,2005,2.64549682103524,504,simplified
20740,0.750095245645877,2005,2.56991988330032,838,simplified
20940,0.778833186976893,2005,2.48421716572626,617,simplified
21060,0.710461567087065,2005,2.54211930140349,573,simplified
21140,0.798192234034578,2005,2.54785988753005,892,simplified
21340,0.619983244386529,2005,2.38558443130047,2769,simplified
21500,0.681949504656287,2005,2.52669036260454,1349,simplified
21660,0.745630619746768,2005,2.58161992713291,1656,simplified
21780,0.797514173789577,2005,2.6297920507279,1318,simplified
22140,0.733324106764883,2005,2.45378526604362,424,simplified
22180,0.722094246000621,2005,2.51386164337322,1268,simplified
22220,0.714738215021269,2005,2.51762466956618,1744,simplified
22380,0.741573355173741,2005,2.54194061500006,685,simplified
22420,0.830439349308444,2005,2.66369724391911,2142,simplified
22520,0.670905224707498,2005,2.48532699265225,596,simplified
22660,0.770128756690796,2005,2.66344679524611,1434,simplified
23060,0.785220571310628,2005,2.62632267484435,1842,simplified
23420,0.864703790151657,2005,2.58979658515956,3637,simplified
23460,0.637792595086814,2005,2.41708233843674,508,simplified
23540,0.72816254934644,2005,2.57123701278984,1271,simplified
23580,0.856113508410331,2005,2.61359944078838,890,simplified
24020,0.734270742898159,2005,2.58665065467479,914,simplified
24140,0.651935130676029,2005,2.39921774089389,939,simplified
24300,0.709259692653953,2005,2.51177251128997,650,simplified
24340,0.822424892656006,2005,2.66250229046212,3445,simplified
24540,0.804427150394818,2005,2.61956831532862,1225,simplified
24660,0.772475393586008,2005,2.57684386335376,3624,simplified
24780,0.699202551302125,2005,2.49111067949506,689,simplified
24860,0.747550407022241,2005,2.56411013260134,4446,simplified
25060,0.734557079076492,2005,2.52365634882017,1360,simplified
25220,0.7315314902602,2005,2.46102474868967,410,simplified
25260,0.765449564777973,2005,2.46010116142833,575,simplified
25420,0.812980105852143,2005,2.6861940677163,2786,simplified
25540,0.99289253265053,2005,2.90658653230635,6126,simplified
25620,0.596483917844542,2005,2.35082975143609,547,simplified
25860,0.701873280862914,2005,2.49339603853533,1771,simplified
25940,0.738929539433705,2005,2.53613458188474,694,simplified
26380,0.783290272415536,2005,2.53989533778496,911,simplified
26420,0.85029154507044,2005,2.65951565935767,22665,simplified
