met2013,V1,year,raw_lnw,N,model_type
0,1.6054958563653,2021,2.96734614454339,368267,simplified
10420,1.63523951068563,2021,3.04557335147451,3280,simplified
10580,1.7776718146177,2021,3.24453111766643,4614,simplified
10740,1.65374495214648,2021,3.03951713489592,3583,simplified
10900,1.71323020363567,2021,3.13041001946172,3696,simplified
11100,1.60831521060591,2021,2.93810925426709,1171,simplified
11260,1.85214579638153,2021,3.22854987138296,1618,simplified
11460,1.72414532281342,2021,3.18612977961862,1940,simplified
11500,1.42291053992207,2021,2.73247252941204,419,simplified
11700,1.57252449675989,2021,3.01675296478986,2196,simplified
12060,1.7259092047879,2021,3.12714080154737,24846,simplified
12100,1.7812204935548,2021,3.16350017977922,1222,simplified
12220,1.5087620029073,2021,2.89326934737184,587,simplified
12260,1.60229508815416,2021,2.93701572457256,2211,simplified
12420,1.75575027320778,2021,3.20365977736195,9904,simplified
12540,1.7218063552494,2021,2.97915331532526,2748,simplified
12580,1.85730584010863,2021,3.29440014536092,13826,simplified
12620,1.63073586673816,2021,3.0486716506743,804,simplified
12700,1.78534813856149,2021,3.30973362240708,1332,simplified
12940,1.66623248951711,2021,2.99873784179527,2604,simplified
13140,1.69321056230708,2021,2.98448624584703,1675,simplified
13380,1.78825252605368,2021,3.18288701036792,980,simplified
13460,1.77089068326574,2021,3.23490633820967,610,simplified
13780,1.64786859875759,2021,3.06732888378935,1316,simplified
13820,1.59133640871312,2021,2.97604914916725,4842,simplified
13900,1.66259655972646,2021,3.0767998975643,557,simplified
13980,1.74929664176877,2021,3.12458564631015,920,simplified
14010,1.71745166608342,2021,3.12637327876081,1036,simplified
14020,1.69645750565056,2021,3.04621835306881,778,simplified
14260,1.6354977422191,2021,3.03755050670365,2759,simplified
14460,1.91354204751328,2021,3.4061564241836,27178,simplified
14740,1.83746349221908,2021,3.25205645465036,1494,simplified
14860,1.90897207646103,2021,3.38307926188728,4879,simplified
15180,1.51058636494983,2021,2.7642671770715,1533,simplified
15380,1.68942998203953,2021,3.14270877825165,5744,simplified
15500,1.60074024956282,2021,2.94169229094187,892,simplified
15540,1.78056621579492,2021,3.22695447465426,931,simplified
15940,1.60234496508905,2021,2.99218452562888,1998,simplified
15980,1.66009423592264,2021,3.03776312252833,3330,simplified
16580,1.62904814809131,2021,3.0281956059942,1060,simplified
16620,1.60694939506149,2021,3.04877420365919,717,simplified
16700,1.61130799414766,2021,3.0269238193501,3448,simplified
16740,1.70216008916083,2021,3.10483441856797,12953,simplified
