met2013,V1,year,raw_lnw,N,model_type
0,1.54014463339718,2020,2.93727787722428,324023,simplified
10420,1.57840835373322,2020,3.02487285450293,3078,simplified
10580,1.71892231625301,2020,3.2389311836289,3768,simplified
10740,1.60517502057306,2020,3.03623292311018,2945,simplified
10900,1.63189079718145,2020,3.07842227830819,3605,simplified
11100,1.63143679294961,2020,3.01942093941911,836,simplified
11260,1.79703247927783,2020,3.21590347011215,1440,simplified
11460,1.65316219903084,2020,3.15989687714788,2000,simplified
11500,1.49924243946941,2020,2.79573318296085,350,simplified
11700,1.51511535079599,2020,2.97089085924726,1652,simplified
12060,1.64479355723205,2020,3.07952902027122,16392,simplified
12100,1.72911673767598,2020,3.134302494614,929,simplified
12220,1.40523791066077,2020,2.82445174977028,474,simplified
12260,1.54965054389313,2020,2.93800320377802,1458,simplified
12420,1.68328684826032,2020,3.17153435362426,6797,simplified
12540,1.64491500593149,2020,2.93041277508691,2193,simplified
12580,1.77643399178671,2020,3.26241059127819,10812,simplified
12620,1.47152846920331,2020,2.90749764527308,774,simplified
12700,1.80540989466597,2020,3.37633373347771,947,simplified
12940,1.6294548442451,2020,3.02260773260136,2161,simplified
13140,1.59457109023625,2020,2.90520345715854,1157,simplified
13380,1.79090308581015,2020,3.21226269244843,896,simplified
13460,1.59441454802853,2020,3.09636821887705,560,simplified
13780,1.70675885726382,2020,3.17381253245476,1050,simplified
13820,1.61526355493081,2020,3.03546443594527,3989,simplified
13900,1.59838841768699,2020,3.09026679780944,561,simplified
13980,1.52676103502477,2020,2.91568064314739,704,simplified
14010,1.65976650224429,2020,3.09603580079574,1023,simplified
14020,1.51983451193162,2020,2.9349931802713,740,simplified
14260,1.58778133511381,2020,3.0099821224606,2463,simplified
14460,1.84471887048159,2020,3.36969746109138,22040,simplified
14740,1.77535501811501,2020,3.21630123408762,1377,simplified
14860,1.85473721168066,2020,3.38328212483014,4025,simplified
15180,1.39065351444825,2020,2.73731243848509,996,simplified
