met2013,V1,year,raw_lnw,N
0,1.18290153671452,2019,2.8231020005015,385342
10420,1.21858213053654,2019,2.90063052825972,3373
10580,1.35692568497988,2019,3.09700956607815,4737
10740,1.22856546987041,2019,2.92579778645995,3677
10900,1.27546448994252,2019,2.95430154843659,3858
11100,1.16644371663197,2019,2.79817300279696,1422
11260,1.37426323521139,2019,3.06517475202297,1389
11460,1.25576137861297,2019,3.00540349647576,1880
11500,1.07180300110403,2019,2.66112610305235,460
11700,1.11982559529822,2019,2.83791595766131,2304
12060,1.3245445643924,2019,3.02486718345245,26707
12100,1.36642565374008,2019,3.02138697534736,1215
12220,1.09630942809068,2019,2.77920251947386,490
12260,1.20588914909589,2019,2.82674287573998,2212
12420,1.31377521968456,2019,3.04236965594539,10950
12540,1.33340621130996,2019,2.89995273394682,2744
12580,1.42379058593631,2019,3.16422240100237,13675
12620,1.22158209772352,2019,2.90237501707728,809
12700,1.37321281406398,2019,3.16962249520875,1229
12940,1.28583326981479,2019,2.89439589617778,2946
13140,1.29224552291886,2019,2.8958097366363,1750
13380,1.34465634334556,2019,3.01459810439796,977
13460,1.22755187028064,2019,2.96572315287659,675
13780,1.21583635210791,2019,2.91193682713553,1355
13820,1.22890630605566,2019,2.90596939499126,4624
13900,1.26855776224483,2019,2.97620545858398,564
13980,1.20585118660996,2019,2.856920694693,877
14010,1.23862089720166,2019,2.97193118060701,1054
14020,1.20945408291366,2019,2.82557101588168,728
14260,1.19828435949405,2019,2.88834051074348,2855
14460,1.46586751450133,2019,3.24487221248993,27539
14740,1.32663504491125,2019,3.03132149302403,1623
14860,1.4930753789408,2019,3.28057163314038,4905
15180,1.07588354322645,2019,2.67161456393012,1546
15380,1.29135483821571,2019,3.00603326472011,5823
15500,1.23175364065812,2019,2.8425815806724,1008
15540,1.32382512079322,2019,3.0364083133626,1002
15940,1.20360850075912,2019,2.85245360368504,1978
15980,1.21607165062993,2019,2.88735838055693,3136
16580,1.19461228211634,2019,2.88854585406341,1118
16620,1.11248300422949,2019,2.81863943087518,819
16700,1.29271633817261,2019,2.98424833658818,3741
16740,1.28670349176714,2019,2.97365452637797,13157
16860,1.18091907385372,2019,2.84692986400144,2652
16980,1.35630964986911,2019,3.08004411335245,41544
17020,1.28886052471917,2019,2.92973101941555,972
17140,1.3114872361466,2019,3.01551880499683,10226
17300,1.11452251355688,2019,2.70176001996911,1385
17460,1.27099767370002,2019,2.96356219111294,10757
17660,1.20550658884052,2019,2.85011015125158,620
17780,1.10556047355628,2019,2.70749442344468,1137
17820,1.25068226369998,2019,2.95962723848894,3546
17860,1.17113748702032,2019,2.83746842860241,741
17900,1.20297842930868,2019,2.84768172431561,4292
18140,1.28736496541707,2019,2.99461487376022,9491
18580,1.17202743663107,2019,2.80657703418845,2251
19100,1.31307197582383,2019,2.98908724409512,36869
19300,1.11255788457894,2019,2.85330482092937,666
19380,1.2143933736577,2019,2.8789144422501,3819
19460,1.23552734499757,2019,2.87353753721868,674
19500,1.20660015675319,2019,2.82992197802897,614
19660,1.18019825829303,2019,2.84622678415209,2944
19740,1.38542973018843,2019,3.14228012990156,16417
19780,1.29202835016825,2019,3.01845312571836,2773
19820,1.29135813208505,2019,2.98885424689206,17147
20100,1.2224141932878,2019,2.83108195230481,783
20700,1.23177530468911,2019,2.93945678747217,409
20740,1.26924500345522,2019,2.91970529895089,768
20940,1.20449314623848,2019,2.77701731488927,446
21140,1.28573051134692,2019,2.86334996472369,816
21340,1.06207853832752,2019,2.69009117989323,3194
21500,1.12715928970909,2019,2.79508972599721,1362
21660,1.23263636701996,2019,2.89376700534661,1946
22180,1.14510852649503,2019,2.68491894740636,1853
22220,1.24230568053904,2019,2.91878208289976,2200
22380,1.28417479626765,2019,2.88867549785148,830
22500,1.20903299339354,2019,2.83728085269037,861
22660,1.24626992030785,2019,2.99404213961175,1833
23060,1.23010678552614,2019,2.87523680034127,2041
23420,1.29870155739731,2019,2.89965460933981,3864
23460,1.11100083698747,2019,2.72953846997468,422
23540,1.14670631677078,2019,2.82506543414176,1361
23580,1.22093593981945,2019,2.83820940749492,1064
24020,1.25954221912406,2019,2.96823142923179,825
24140,1.05253581394783,2019,2.62968194081273,477
24300,1.12530433854279,2019,2.77450562202406,581
24340,1.2287753170372,2019,2.90309114060513,3695
24660,1.17684392645665,2019,2.80890937515683,3620
24780,1.1817998323113,2019,2.80838382094358,657
24860,1.17951185263354,2019,2.8376631736114,5034
25060,1.14792287752343,2019,2.77305189158357,1339
25260,1.28001188978877,2019,2.85449510719749,573
25420,1.23309755830662,2019,2.93092211837338,2799
25500,1.22506742752509,2019,2.80079420415832,889
25540,1.39173154992267,2019,3.129894315823,6511
25860,1.14095647587208,2019,2.78367777524957,1789
25940,1.17597162078017,2019,2.86434441871762,852
26140,1.2462050498799,2019,2.90167108767113,439
26380,1.25832789460425,2019,2.82909005166024,917
26420,1.32364459200305,2019,2.99211737441775,25952
26620,1.27047132641522,2019,2.99919888130892,1828
26900,1.27812966436262,2019,2.97532949602121,8800
26980,1.1751035199481,2019,2.89080072238058,623
27060,1.23069151112393,2019,2.96159051888739,624
27100,1.15399519063113,2019,2.80728088676287,681
27140,1.16781096510599,2019,2.78980026816216,2650
27180,1.12627352674934,2019,2.73694461617272,528
27260,1.26203929886417,2019,2.93796514403938,6813
27500,1.19366944805886,2019,2.83010228157234,650
27620,1.15532033105122,2019,2.86421177005761,859
27780,1.13310044811619,2019,2.78917036805226,1034
27900,1.13618749961694,2019,2.76656852106345,871
28020,1.15374908882753,2019,2.79908659637708,1806
28100,1.20814121710879,2019,2.83478561655349,679
28140,1.2721556299729,2019,2.98022374536967,10400
28940,1.17050696905285,2019,2.85324411618123,4789
29100,1.20991627615533,2019,2.85317093654622,502
29180,1.25401124405841,2019,2.88666474672167,1978
29200,1.19256112568263,2019,2.79911187693215,1043
29420,1.23573185046822,2019,2.82575095988065,785
29460,1.16063207247693,2019,2.76886023767961,3220
29540,1.21858407980905,2019,2.87018014425483,2023
29620,1.25924423841997,2019,2.93058784344923,2583
29700,1.09059909732275,2019,2.6871062162779,1157
29740,1.02627411387577,2019,2.66115356846679,586
29820,1.29589139064428,2019,2.91795281792507,10196
29940,1.21498102846846,2019,2.8428797761918,510
30140,1.21135162355241,2019,2.82529517125162,698
30340,1.15978606748855,2019,2.83253834942395,427
30620,1.23469925284561,2019,2.84183756650926,582
30700,1.16656230164135,2019,2.84254918342973,1388
30780,1.20233992161352,2019,2.86083463451343,2826
31080,1.38904717455991,2019,3.06891343164746,66179
31140,1.26141498313887,2019,2.95134116983627,7010
31180,1.14415727940546,2019,2.75487646949752,1574
31340,1.17602778170235,2019,2.81276395307695,1353
31460,1.14415274194948,2019,2.65890642988581,552
31700,1.34540413282372,2019,3.07937377118533,1840
31900,1.19415775949996,2019,2.84227736794579,592
32580,1.05341137883811,2019,2.62380770264992,2418
32780,1.23573495743665,2019,2.89885617804497,876
32820,1.2751213335418,2019,2.90052204240713,5283
32900,1.33016757607898,2019,2.82216814223015,1013
33100,1.20568035220218,2019,2.91087279892026,27757
33140,1.18354104543053,2019,2.82348834883477,599
33260,1.39920303311068,2019,3.03029236970463,577
33340,1.30586118018538,2019,3.00826060120265,5379
33460,1.39571039507898,2019,3.14155016997959,13878
33660,1.23984942619189,2019,2.84680608839977,1612
33700,1.37332452059903,2019,2.97215085997803,2066
33740,1.12812421685659,2019,2.75652614176918,597
33780,1.26327157417165,2019,2.95220697080387,644
33860,1.14351791879876,2019,2.75336450253718,1549
34060,1.13536790852686,2019,2.84457858107071,753
34620,1.02561120150577,2019,2.59707806142355,582
34740,1.19588337418963,2019,2.79161559334161,688
34820,1.10727632148936,2019,2.77714652246612,2086
34900,1.46802703386772,2019,3.17304619589739,870
34940,1.2705280976131,2019,2.97969853337338,1373
34980,1.25540561652169,2019,2.94861881006063,10268
35300,1.38927462484408,2019,3.08749371860005,4048
35380,1.25897011135859,2019,2.92888226401539,6525
35620,1.46679787418237,2019,3.20858044806671,94128
35660,1.18577048872531,2019,2.84871470924952,810
35840,1.20635625117224,2019,2.90834160975343,3390
35980,1.37328683352064,2019,3.06055471331085,1586
36100,1.15149277377626,2019,2.78903058022812,1100
36140,1.40259769012569,2019,3.13499050340248,647
36220,1.34469360051582,2019,2.90549882984482,610
36260,1.29021578179028,2019,2.95663868330485,2829
36420,1.24721011194764,2019,2.90905404259681,4930
36500,1.34479182784344,2019,3.07011219295649,1309
36540,1.24275846915963,2019,2.95181861225104,4760
36740,1.18509574837922,2019,2.86670856112028,10561
36780,1.2478178080725,2019,2.9155680434648,707
36980,1.09284863212755,2019,2.76920926370747,533
37100,1.41203623643861,2019,3.10561816382058,4271
37340,1.21776235886448,2019,2.935203249859,2450
37620,1.15454515309892,2019,2.84301449121971,448
37860,1.1971501269004,2019,2.8254511912886,2467
37980,1.36381176587861,2019,3.08622037380919,27388
38060,1.29754708076584,2019,2.97018637210302,22301
38300,1.25250006234895,2019,3.00700912012226,11910
38340,1.23038611791096,2019,2.96091657636426,898
38860,1.25396943168301,2019,3.01901154390722,2041
38900,1.38823590331624,2019,3.13493632255158,12524
38940,1.21383673755806,2019,2.88012092840029,1628
39140,1.1841945161888,2019,2.87057343142611,762
39300,1.36876807506912,2019,3.06161177870606,8588
39340,1.23983441672114,2019,2.85849271347005,3835
39380,1.15851777175552,2019,2.81735222021071,794
39460,1.24088017180537,2019,2.91671147101757,654
39540,1.28005731953269,2019,2.94898992973041,575
39580,1.30332626806401,2019,3.0591286351342,6594
39740,1.2866151689952,2019,2.91931262944398,2154
39820,1.32983496596989,2019,3.00597002886174,878
39900,1.33249415420546,2019,2.9815823616219,2463
40060,1.2980384565942,2019,2.97906655421244,6550
40140,1.34841480196931,2019,2.94857533618082,17972
40220,1.23713285980034,2019,2.90693556342399,1536
40380,1.25379576848207,2019,2.98054874006963,6752
40420,1.21957490141736,2019,2.8599771107556,1493
40580,1.17579671737627,2019,2.73165442587738,593
40900,1.41742119773145,2019,3.11367893428604,11138
40980,1.17471447153418,2019,2.8359505220744,915
41100,1.20267516751272,2019,2.85798246528862,535
41140,1.15636738489239,2019,2.80490721749589,703
41180,1.28150497469527,2019,2.99765075279283,13035
41500,1.39629470632748,2019,2.96475893094458,2293
41540,1.24316466026621,2019,2.89657489176649,2180
41620,1.2862454612973,2019,2.95617735527532,6073
41660,1.15598123642163,2019,2.77977331228826,528
41700,1.18273170790267,2019,2.82221055265361,11146
41740,1.39016134915203,2019,3.10774897730961,15018
41860,1.61484331423573,2019,3.41461186105188,24526
41940,1.66727038301131,2019,3.49090411354082,10843
42020,1.32672202408496,2019,2.9849636715713,1374
42100,1.47591694638307,2019,3.14732237070013,1338
42140,1.21670843283357,2019,2.96418220684238,909
42200,1.39048325490925,2019,2.9982058743559,2127
42220,1.4685537505086,2019,3.16824777871482,2392
42540,1.17027954882108,2019,2.83551580459536,2671
42660,1.51533452347333,2019,3.27333212011903,20293
42680,1.14204668034342,2019,2.82829779432656,573
43100,1.23789131428189,2019,2.94719622740521,577
43340,1.14390138683744,2019,2.75101355139342,1505
43900,1.17736300214508,2019,2.81184765615843,1565
44060,1.26637343460492,2019,2.94811310585147,3318
44100,1.26094866478578,2019,3.0081168632023,1015
44140,1.34106503118896,2019,3.03578653739719,2968
44180,1.14887698964528,2019,2.83686079444308,1708
44220,1.20068960555264,2019,2.78877258054556,767
44300,1.20163835848145,2019,2.87491147138494,924
44700,1.40935320821881,2019,2.99232618807009,2993
45060,1.25742603170335,2019,2.96228428080573,4280
45300,1.2225905987099,2019,2.93082694333402,16528
45780,1.22094748068458,2019,2.87778256517744,3314
45820,1.14425008602523,2019,2.7965026308785,1123
45940,1.41249064175678,2019,3.14347286064796,1629
46060,1.22581447265254,2019,2.87078897772472,4881
46220,1.16554145045864,2019,2.75257625823278,955
46340,1.20190505290146,2019,2.79332445203092,1001
46520,1.37158407270822,2019,3.06085023833046,5163
46540,1.29000661712652,2019,2.99972478293093,1637
46700,1.44413204716736,2019,3.08586367485398,2028
47260,1.26609577091919,2019,2.91250961312795,8504
47300,1.28845234221109,2019,2.83333582500099,1484
47380,1.1648139482644,2019,2.77062523964176,1471
47900,1.48233201182968,2019,3.25828460354962,34414
48140,1.22366130948429,2019,2.90724217323656,932
48300,1.30189988683311,2019,2.87609924075873,581
48620,1.18366628828104,2019,2.85462273187461,2532
48660,1.10221908458606,2019,2.70158316325501,749
48900,1.12296538834656,2019,2.82648050959698,1381
49180,1.21712144556769,2019,2.87663171757473,3067
49340,1.40586746078284,2019,3.12825422454451,5288
49420,1.29771983822278,2019,2.85753873720604,1110
49620,1.27408189314038,2019,2.96893859366143,2184
49660,1.15289229374784,2019,2.81800762237832,2824
49700,1.32316524271806,2019,2.92747216295205,755
49740,1.20660659555295,2019,2.75338794042338,742
