met2013,V1,year,raw_lnw,N,model_type
0,1.18290153671452,2019,2.8231020005015,385342,simplified
10420,1.21858213053654,2019,2.90063052825972,3373,simplified
10580,1.35692568497988,2019,3.09700956607815,4737,simplified
10740,1.22856546987041,2019,2.92579778645995,3677,simplified
10900,1.27546448994252,2019,2.95430154843659,3858,simplified
11100,1.16644371663197,2019,2.79817300279696,1422,simplified
11260,1.37426323521139,2019,3.06517475202297,1389,simplified
11460,1.25576137861297,2019,3.00540349647576,1880,simplified
11500,1.07180300110403,2019,2.66112610305235,460,simplified
11700,1.11982559529822,2019,2.83791595766131,2304,simplified
12060,1.3245445643924,2019,3.02486718345245,26707,simplified
12100,1.36642565374008,2019,3.02138697534736,1215,simplified
12220,1.09630942809068,2019,2.77920251947386,490,simplified
12260,1.20588914909589,2019,2.82674287573998,2212,simplified
12420,1.31377521968456,2019,3.04236965594539,10950,simplified
12540,1.33340621130996,2019,2.89995273394682,2744,simplified
12580,1.42379058593631,2019,3.16422240100237,13675,simplified
12620,1.22158209772352,2019,2.90237501707728,809,simplified
12700,1.37321281406398,2019,3.16962249520875,1229,simplified
12940,1.28583326981479,2019,2.89439589617778,2946,simplified
13140,1.29224552291886,2019,2.8958097366363,1750,simplified
13380,1.34465634334556,2019,3.01459810439796,977,simplified
13460,1.22755187028064,2019,2.96572315287659,675,simplified
13780,1.21583635210791,2019,2.91193682713553,1355,simplified
13820,1.22890630605566,2019,2.90596939499126,4624,simplified
13900,1.26855776224483,2019,2.97620545858398,564,simplified
13980,1.20585118660996,2019,2.856920694693,877,simplified
14010,1.23862089720166,2019,2.97193118060701,1054,simplified
14020,1.20945408291366,2019,2.82557101588168,728,simplified
14260,1.19828435949405,2019,2.88834051074348,2855,simplified
14460,1.46586751450133,2019,3.24487221248993,27539,simplified
14740,1.32663504491125,2019,3.03132149302403,1623,simplified
14860,1.4930753789408,2019,3.28057163314038,4905,simplified
15180,1.07588354322645,2019,2.67161456393012,1546,simplified
15380,1.29135483821571,2019,3.00603326472011,5823,simplified
15500,1.23175364065812,2019,2.8425815806724,1008,simplified
15540,1.32382512079322,2019,3.0364083133626,1002,simplified
15940,1.20360850075912,2019,2.85245360368504,1978,simplified
15980,1.21607165062993,2019,2.88735838055693,3136,simplified
16580,1.19461228211634,2019,2.88854585406341,1118,simplified
16620,1.11248300422949,2019,2.81863943087518,819,simplified
16700,1.29271633817261,2019,2.98424833658818,3741,simplified
16740,1.28670349176714,2019,2.97365452637797,13157,simplified
16860,1.18091907385372,2019,2.84692986400144,2652,simplified
16980,1.35630964986911,2019,3.08004411335245,41544,simplified
17020,1.28886052471917,2019,2.92973101941555,972,simplified
17140,1.3114872361466,2019,3.01551880499683,10226,simplified
17300,1.11452251355688,2019,2.70176001996911,1385,simplified
17460,1.27099767370002,2019,2.96356219111294,10757,simplified
17660,1.20550658884052,2019,2.85011015125158,620,simplified
17780,1.10556047355628,2019,2.70749442344468,1137,simplified
17820,1.25068226369998,2019,2.95962723848894,3546,simplified
17860,1.17113748702032,2019,2.83746842860241,741,simplified
17900,1.20297842930868,2019,2.84768172431561,4292,simplified
18140,1.28736496541707,2019,2.99461487376022,9491,simplified
18580,1.17202743663107,2019,2.80657703418845,2251,simplified
19100,1.31307197582383,2019,2.98908724409512,36869,simplified
19300,1.11255788457894,2019,2.85330482092937,666,simplified
19380,1.2143933736577,2019,2.8789144422501,3819,simplified
19460,1.23552734499757,2019,2.87353753721868,674,simplified
19500,1.20660015675319,2019,2.82992197802897,614,simplified
19660,1.18019825829303,2019,2.84622678415209,2944,simplified
19740,1.38542973018843,2019,3.14228012990156,16417,simplified
19780,1.29202835016825,2019,3.01845312571836,2773,simplified
19820,1.29135813208505,2019,2.98885424689206,17147,simplified
20100,1.2224141932878,2019,2.83108195230481,783,simplified
20700,1.23177530468911,2019,2.93945678747217,409,simplified
20740,1.26924500345522,2019,2.91970529895089,768,simplified
20940,1.20449314623848,2019,2.77701731488927,446,simplified
21140,1.28573051134692,2019,2.86334996472369,816,simplified
21340,1.06207853832752,2019,2.69009117989323,3194,simplified
21500,1.12715928970909,2019,2.79508972599721,1362,simplified
21660,1.23263636701996,2019,2.89376700534661,1946,simplified
22180,1.14510852649503,2019,2.68491894740636,1853,simplified
22220,1.24230568053904,2019,2.91878208289976,2200,simplified
22380,1.28417479626765,2019,2.88867549785148,830,simplified
22500,1.20903299339354,2019,2.83728085269037,861,simplified
22660,1.24626992030785,2019,2.99404213961175,1833,simplified
23060,1.23010678552614,2019,2.87523680034127,2041,simplified
23420,1.29870155739731,2019,2.89965460933981,3864,simplified
23460,1.11100083698747,2019,2.72953846997468,422,simplified
23540,1.14670631677078,2019,2.82506543414176,1361,simplified
23580,1.22093593981945,2019,2.83820940749492,1064,simplified
24020,1.25954221912406,2019,2.96823142923179,825,simplified
24140,1.05253581394783,2019,2.62968194081273,477,simplified
24300,1.12530433854279,2019,2.77450562202406,581,simplified
24340,1.2287753170372,2019,2.90309114060513,3695,simplified
24660,1.17684392645665,2019,2.80890937515683,3620,simplified
24780,1.1817998323113,2019,2.80838382094358,657,simplified
24860,1.17951185263354,2019,2.8376631736114,5034,simplified
25060,1.14792287752343,2019,2.77305189158357,1339,simplified
25260,1.28001188978877,2019,2.85449510719749,573,simplified
25420,1.23309755830662,2019,2.93092211837338,2799,simplified
25500,1.22506742752509,2019,2.80079420415832,889,simplified
25540,1.39173154992267,2019,3.129894315823,6511,simplified
25860,1.14095647587208,2019,2.78367777524957,1789,simplified
25940,1.17597162078017,2019,2.86434441871762,852,simplified
26140,1.2462050498799,2019,2.90167108767113,439,simplified
26380,1.25832789460425,2019,2.82909005166024,917,simplified
26420,1.32364459200305,2019,2.99211737441775,25952,simplified
26620,1.27047132641522,2019,2.99919888130892,1828,simplified
26900,1.27812966436262,2019,2.97532949602121,8800,simplified
26980,1.1751035199481,2019,2.89080072238058,623,simplified
