met2013,V1,year,raw_lnw,N,model_type
0,1.44859162988075,2023,3.00036219228905,396409,simplified
10420,1.47670418771807,2023,3.09068798330268,3301,simplified
10540,1.53485189169761,2023,3.09441184256875,583,simplified
10580,1.58656774279942,2023,3.2439527932649,5022,simplified
10740,1.50994618637516,2023,3.0882235720169,3826,simplified
10900,1.53197660299486,2023,3.12346242234084,3864,simplified
11100,1.46906635837361,2023,2.97688525853579,1289,simplified
11260,1.64760962162275,2023,3.23971182350553,1538,simplified
11460,1.52548761339237,2023,3.20923949881653,1915,simplified
11500,1.32581865855095,2023,2.84479952839025,513,simplified
11700,1.410192566018,2023,3.05869009065683,2411,simplified
12060,1.58794117233087,2023,3.18156349305594,30849,simplified
12100,1.60307138769076,2023,3.18113686013412,1307,simplified
12260,1.44673545743704,2023,2.98436379705947,2182,simplified
12420,1.64606747628842,2023,3.31160729957336,12731,simplified
12540,1.62991513124136,2023,3.0640941919545,3954,simplified
12580,1.66055193409651,2023,3.29832014008872,14049,simplified
12620,1.46063022720622,2023,3.04052388567615,655,simplified
12700,1.71712496273276,2023,3.42392941903663,1062,simplified
12940,1.51126773569341,2023,3.0240210595838,3242,simplified
13140,1.50980026459748,2023,2.98135080094089,1682,simplified
13220,1.35721044560163,2023,2.94450867889268,358,simplified
13380,1.64847049766695,2023,3.23089724473963,1203,simplified
13820,1.49413031416429,2023,3.08364151726008,5018,simplified
13900,1.57018866223886,2023,3.21511464385649,499,simplified
13980,1.43793599604627,2023,2.99187753738433,1132,simplified
14010,1.524321123806,2023,3.13670449879874,1171,simplified
14020,1.37916440251129,2023,2.96428296236637,700,simplified
14260,1.53712776391279,2023,3.12975992941081,4157,simplified
14460,1.74640763600746,2023,3.43828867591993,28330,simplified
14740,1.66892999560523,2023,3.29945270043004,1519,simplified
14860,1.74919543922433,2023,3.42930745689256,4974,simplified
15180,1.34984739548826,2023,2.81537035159432,1869,simplified
15380,1.52114470552472,2023,3.15652599272333,5973,simplified
15500,1.43725600404925,2023,2.97398283061836,1081,simplified
15680,1.77909165069734,2023,3.3956846749421,503,simplified
15940,1.42036355531946,2023,2.99363685511263,1951,simplified
15980,1.51112780802987,2023,3.09317213867931,3518,simplified
16620,1.36508798422152,2023,2.97955937618314,740,simplified
16700,1.51623414503695,2023,3.1293931909395,4173,simplified
16740,1.57396452322824,2023,3.18523161058461,14357,simplified
16860,1.49826221899157,2023,3.09311969377872,2727,simplified
16940,1.52268156175428,2023,3.13065774326999,417,simplified
16980,1.63312492859417,2023,3.25271466924715,41916,simplified
17020,1.55032859732995,2023,3.08249034964698,1029,simplified
17140,1.55207699916039,2023,3.1693452905219,10334,simplified
17300,1.45417507230328,2023,2.98537613452688,1427,simplified
17420,1.41105307697068,2023,2.98550129877317,652,simplified
17460,1.51955682114341,2023,3.12643806463362,10040,simplified
17660,1.53061997189836,2023,3.12156976043854,623,simplified
17780,1.35647951429096,2023,2.83528349950374,1590,simplified
17820,1.59667232651319,2023,3.21623226647762,4147,simplified
17900,1.45920244029011,2023,3.01661412659821,4287,simplified
18140,1.55474918231239,2023,3.17056520502841,10651,simplified
18580,1.43492364293403,2023,2.94328284538187,2178,simplified
18700,1.51520313598584,2023,3.11111322958393,712,simplified
18880,1.56146216040629,2023,3.13991218518251,1791,simplified
19100,1.60689084025532,2023,3.19227021434824,40240,simplified
19300,1.47599671976184,2023,3.07755789796145,769,simplified
19380,1.49669410660509,2023,3.09206186329826,3799,simplified
19460,1.53393380662378,2023,3.08553814941861,703,simplified
19660,1.48034257838548,2023,3.05951902626596,2815,simplified
19740,1.70806629052945,2023,3.37661903253398,16915,simplified
19780,1.53306589555786,2023,3.15894912146853,2256,simplified
19820,1.54989192547224,2023,3.14801129753832,16542,simplified
20020,1.36750663916577,2023,2.87228394938471,1419,simplified
20100,1.4849068509934,2023,2.9809319678062,795,simplified
20700,1.48233155535496,2023,3.04048566516858,697,simplified
20940,1.58601759595497,2023,3.01253939068723,570,simplified
21140,1.51963436959292,2023,3.00075176698363,956,simplified
21340,1.38050791136481,2023,2.86546133788245,3887,simplified
21500,1.43390685698983,2023,2.98931917114195,1229,simplified
21660,1.47597451726259,2023,3.04852965831226,1862,simplified
22180,1.47897572249947,2023,2.94520960256773,2283,simplified
22220,1.56697111327584,2023,3.13508069780293,2448,simplified
22380,1.56607967566832,2023,3.0714568451193,1036,simplified
22660,1.58324058164295,2023,3.23257738385063,1994,simplified
23060,1.47927385356337,2023,3.0438519047056,1879,simplified
23420,1.59782019531428,2023,3.09356482424363,4031,simplified
23540,1.46672789557727,2023,3.07801168082382,1244,simplified
23580,1.55703276058683,2023,3.08705573861865,1156,simplified
24020,1.53187654241692,2023,3.16414519440886,874,simplified
24140,1.36267190476577,2023,2.82378654824998,547,simplified
24300,1.49034898656684,2023,3.06719160742595,702,simplified
24340,1.49517015191302,2023,3.10351549072855,3839,simplified
24540,1.60368311062959,2023,3.16886539160756,1786,simplified
24660,1.47643966025657,2023,3.02291820328085,3820,simplified
24780,1.48532523468576,2023,3.02319703924151,759,simplified
24860,1.47965431548187,2023,3.06658364841042,5363,simplified
25060,1.44400262626075,2023,3.00052862615045,1732,simplified
25260,1.55185985736687,2023,2.94300067556933,589,simplified
25420,1.53076869854543,2023,3.13510448136819,2734,simplified
25500,1.45520016418519,2023,2.92065795314137,831,simplified
25540,1.65945660842566,2023,3.29324038409394,6188,simplified
25620,1.27809953492766,2023,2.81350390396578,808,simplified
25860,1.42780174066849,2023,2.98022326100008,1898,simplified
26140,1.46654682248263,2023,3.04333268441606,592,simplified
26420,1.57599398511428,2023,3.1354128699604,30451,simplified
26620,1.53706402518217,2023,3.19303272767163,2159,simplified
26900,1.54556803723115,2023,3.15668305462282,9590,simplified
26980,1.44481313316395,2023,3.05534728457535,691,simplified
27060,1.40372360413544,2023,2.99654408725381,732,simplified
27100,1.4065719602261,2023,2.98341253833093,761,simplified
27140,1.38356940985353,2023,2.91972649594405,2638,simplified
27180,1.4262810286253,2023,2.92956206116683,586,simplified
27260,1.55210687944607,2023,3.15176899835144,7080,simplified
27500,1.49581837689291,2023,3.06312388461385,620,simplified
27740,1.31292693289203,2023,2.90922234852786,1102,simplified
27780,1.38935305132745,2023,2.96461473715125,1060,simplified
27860,1.41397307100495,2023,2.98404247412233,572,simplified
27900,1.35714442176997,2023,2.87705416981917,962,simplified
28020,1.45884372387102,2023,3.0505718392854,1936,simplified
28140,1.54261590335948,2023,3.15983064587186,10339,simplified
28940,1.45701678026314,2023,3.06730007790908,4687,simplified
29100,1.37517611249189,2023,2.97176516532956,503,simplified
29180,1.41818370396684,2023,2.93209638752228,1988,simplified
29200,1.42276853947139,2023,2.95302010579881,1142,simplified
29420,1.40663317644899,2023,2.93794285937718,849,simplified
29460,1.50605782665366,2023,3.03322212694855,3337,simplified
29540,1.52195651923251,2023,3.08109462144082,2305,simplified
29620,1.45859888493129,2023,3.02070847356094,2522,simplified
29700,1.37426378126485,2023,2.82660512073043,1126,simplified
29740,1.3792550873253,2023,2.87141088029757,829,simplified
29820,1.5910851423578,2023,3.12086837091573,10830,simplified
29940,1.35242800872284,2023,2.92831303247337,488,simplified
30020,1.39329983826372,2023,2.88596911785456,629,simplified
30140,1.51688908683278,2023,3.03068182563028,657,simplified
30340,1.53253120835626,2023,3.07625113877288,431,simplified
30620,1.4632398750563,2023,3.00518553877029,584,simplified
30700,1.45108236380517,2023,3.02985972968887,1399,simplified
30780,1.51726540095042,2023,3.10115926664709,3111,simplified
31080,1.68740485088109,2023,3.27547677824223,63870,simplified
31140,1.50921598201409,2023,3.11295704320378,6794,simplified
31180,1.43174426098643,2023,2.94317832566558,1999,simplified
31340,1.44403925624176,2023,3.00891111719951,1405,simplified
31460,1.52055004751082,2023,2.93658073691728,551,simplified
31860,1.41718272779587,2023,2.93548097266427,697,simplified
31900,1.41409709502632,2023,2.95826721380886,484,simplified
32580,1.35238034581905,2023,2.79194359442936,3749,simplified
32780,1.55608974369915,2023,3.11763509387108,893,simplified
32820,1.51545998417709,2023,3.04872979471951,5172,simplified
32900,1.62864227533772,2023,3.01346842461337,1144,simplified
33100,1.55071765238051,2023,3.1456888976519,28299,simplified
33140,1.53115658707041,2023,3.06658832362064,495,simplified
33260,1.59422223523341,2023,3.14424221520692,686,simplified
33340,1.55530906751027,2023,3.1814972507943,5194,simplified
33460,1.65628696443466,2023,3.3188171586152,13286,simplified
33660,1.44085819519006,2023,2.96012721861826,1736,simplified
33700,1.68993014221938,2023,3.16814097340278,2302,simplified
33740,1.43736437937283,2023,2.96598193333936,639,simplified
33780,1.48098204208458,2023,3.06996013202433,658,simplified
33860,1.43011940964134,2023,2.93671828978342,1718,simplified
34580,1.74331395305903,2023,3.30121513446631,1011,simplified
34620,1.35905177895182,2023,2.84255581256122,692,simplified
34740,1.38530671766588,2023,2.91392562877241,761,simplified
34820,1.4649596470507,2023,3.05425130172184,1918,simplified
34900,1.7367341083544,2023,3.31883768015294,750,simplified
34940,1.60038620154474,2023,3.20552282838454,1895,simplified
34980,1.57535530924341,2023,3.19419536527193,10004,simplified
35300,1.64192887136429,2023,3.2446791192079,3953,simplified
35380,1.48572920055605,2023,3.07113270727547,5329,simplified
