year,met2013,fe_adj_lnw,raw_lnw,N,model_type,cpi,fe_adj_real,raw_real
2005,0,0.69815015187544,2.49361362657651,364040,simplified,195.3,0.00357475756208623,0.0127681189276831
2005,10420,0.791013384584769,2.65497903706896,3539,simplified,195.3,0.00405024774492969,0.0135943627090065
2005,10580,0.848505384488067,2.75329156530651,4353,simplified,195.3,0.00434462562461888,0.0140977550706939
2005,10740,0.767159055452028,2.60903219908195,3862,simplified,195.3,0.0039281057626832,0.0133590998416895
2005,10780,0.664999681431205,2.44546710440677,1004,simplified,195.3,0.00340501628997033,0.0125215929565119
2005,10900,0.860605094288073,2.72504452072474,3655,simplified,195.3,0.00440658010388158,0.0139531209458512
2005,11020,0.675919702678084,2.49028192078408,645,simplified,195.3,0.00346093037725593,0.0127510595022226
2005,11100,0.686297212493755,2.45651257447997,1287,simplified,195.3,0.00351406662823223,0.012578149382898
2005,11260,0.94224174717618,2.78412751796417,1685,simplified,195.3,0.00482458651907926,0.0142556452532728
2005,11460,0.830209619533824,2.79493955938939,1534,simplified,195.3,0.00425094531251318,0.0143110064484864
2005,11500,0.727150637435366,2.52923557197489,483,simplified,195.3,0.00372324955164038,0.012950514961469
2005,12020,0.668999498798762,2.46039812562971,990,simplified,195.3,0.00342549666563626,0.0125980446780835
2005,12060,0.909353395701701,2.76439210096825,23318,simplified,195.3,0.00465618738198516,0.0141545934509383
2005,12100,0.977778907227615,2.77325884287945,1352,simplified,195.3,0.00500654842410453,0.0141999940751636
2005,12220,0.669344879382336,2.42796687758358,969,simplified,195.3,0.00342726512740571,0.0124319860603358
2005,12260,0.823826458695395,2.61426600769866,2255,simplified,195.3,0.00421826143725241,0.0133858986569312
2005,12420,0.843883454705705,2.68844037562239,7484,simplified,195.3,0.0043209598295223,0.0137656957277132
2005,12540,0.841872137675094,2.53297372368464,3062,simplified,195.3,0.00431066122721502,0.0129696555232188
2005,12580,0.968961297088353,2.83379681158174,13321,simplified,195.3,0.00496139937065209,0.0145099683132706
2005,12620,0.637206298592799,2.48929558757212,890,simplified,195.3,0.00326270506191909,0.012746009152955
2005,12700,0.885199959155536,2.79458377012847,1199,simplified,195.3,0.00453251387176414,0.014309184690878
2005,12940,0.815927742948323,2.5890492115642,3233,simplified,195.3,0.00417781742421056,0.0132567803971541
2005,12980,0.743936512031724,2.56978713218423,742,simplified,195.3,0.00380919873032117,0.0131581522385265
2005,13140,0.756117696011912,2.51757334668761,1651,simplified,195.3,0.00387157038408557,0.0128908005462755
2005,13380,0.797741878231342,2.63902633112819,830,simplified,195.3,0.00408469983733406,0.0135126796268725
2005,13460,0.772619927507531,2.62717946372324,575,simplified,195.3,0.00395606721714046,0.0134520197835291
2005,13740,0.689032170565,2.54010348293167,613,simplified,195.3,0.00352807050980543,0.0130061622269927
2005,13780,0.732928421738161,2.60947612042321,1417,simplified,195.3,0.00375283370065623,0.0133613728644302
2005,13820,0.785372309344552,2.61713318981753,4600,simplified,195.3,0.00402136359111394,0.0134005795689582
2005,13980,0.637419438557342,2.45749966762929,749,simplified,195.3,0.00326379640838373,0.0125832036232939
2005,14010,0.759882206035585,2.63546835079385,1022,simplified,195.3,0.00389084590904037,0.013494461601607
2005,14020,0.677858961219778,2.56824496908197,535,simplified,195.3,0.00347086001648632,0.0131502558580746
2005,14260,0.767877125738637,2.59995800978034,2282,simplified,195.3,0.00393178251786296,0.0133126370188445
2005,14460,0.980783245136765,2.91353463570414,23149,simplified,195.3,0.00502193161872383,0.0149182521029398
2005,14740,0.874421056956735,2.7168942776511,1202,simplified,195.3,0.00447732236024954,0.0139113890304716
2005,14860,1.10404669440687,3.02970449842437,4211,simplified,195.3,0.00565308087253902,0.0155130798690444
2005,15180,0.604925862140821,2.32352919602491,1288,simplified,195.3,0.00309741864895454,0.0118972309064256
2005,15380,0.798580844112631,2.66269601712769,5635,simplified,195.3,0.0040889956175762,0.013633876175769
2005,15500,0.807677239829052,2.58323693612935,706,simplified,195.3,0.004135572144542,0.0132270196422394
2005,15540,0.786725166082228,2.7454526631268,843,simplified,195.3,0.00402829066094331,0.0140576173227179
2005,15940,0.738972712857825,2.56104613134826,2025,simplified,195.3,0.00378378245190899,0.0131133954498119
2005,15980,0.853285220522776,2.65039944847213,2713,simplified,195.3,0.00436909995147351,0.013570913714655
2005,16580,0.709850308915389,2.53896009387217,1142,simplified,195.3,0.00363466620028361,0.0130003077003183
2005,16700,0.768124534000031,2.59127085981522,3070,simplified,195.3,0.00393304932923723,0.0132681559642356
2005,16740,0.826069249118221,2.66437852803896,9250,simplified,195.3,0.00422974525918188,0.0136424911829952
2005,16820,0.804382049906197,2.72269389447757,865,simplified,195.3,0.00411869969230004,0.0139410849691632
2005,16860,0.804029235855624,2.64201048953352,2189,simplified,195.3,0.00411689316874359,0.0135279594958194
2005,16980,0.929109592169702,2.78701962792243,40173,simplified,195.3,0.00475734558202612,0.0142704538040063
2005,17020,0.759620738342488,2.55890630385004,1000,simplified,195.3,0.0038895071087685,0.0131024388317974
2005,17140,0.8434957775988,2.6810617102864,9978,simplified,195.3,0.00431897479569278,0.0137279145431971
2005,17300,0.693443812398183,2.4845064343437,1162,simplified,195.3,0.00355065956169064,0.0127214871190154
2005,17460,0.830375616247674,2.68621261143531,10488,simplified,195.3,0.00425179527008538,0.0137542888450349
2005,17780,0.616394280194217,2.35281126968182,780,simplified,195.3,0.00315614070759968,0.012047164719313
2005,17820,0.789080243808729,2.67289676682856,3017,simplified,195.3,0.00404034943066425,0.0136861073570331
